round,local_test_acc,global_test_acc,gm_only_global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
0,0.2684,0.1667,0.0849,1.4575,495.2512,495.2512,990.5023
1,0.3052,0.1991,0.0849,1.1898,495.2512,495.2512,990.5023
2,0.3368,0.2271,0.0849,1.0583,495.2512,495.2512,990.5023
3,0.3593,0.2494,0.0849,0.9687,495.2512,495.2512,990.5023
4,0.4044,0.3459,0.0944,1.2728,495.2512,9619.0019,10114.2531
5,0.4003,0.3156,0.0944,0.8797,495.2512,495.2512,990.5023
6,0.3949,0.3196,0.0944,0.8828,495.2512,495.2512,990.5023
7,0.4075,0.3251,0.0944,0.8322,495.2512,495.2512,990.5023
8,0.4428,0.3843,0.0972,0.9986,495.2512,9619.0019,10114.2531
9,0.4324,0.3537,0.0972,0.7531,495.2512,495.2512,990.5023
10,0.4293,0.3489,0.0972,0.7105,495.2512,495.2512,990.5023
11,0.4243,0.3487,0.0972,0.6789,495.2512,495.2512,990.5023
12,0.4369,0.3831,0.1057,0.8296,495.2512,9619.0019,10114.2531
13,0.4368,0.3601,0.1057,0.6642,495.2512,495.2512,990.5023
14,0.4375,0.3634,0.1057,0.6450,495.2512,495.2512,990.5023
15,0.4361,0.3611,0.1057,0.6274,495.2512,495.2512,990.5023
16,0.4560,0.3896,0.0911,0.8817,495.2512,9619.0019,10114.2531
17,0.4535,0.3792,0.0911,0.6244,495.2512,495.2512,990.5023
18,0.4488,0.3755,0.0911,0.5940,495.2512,495.2512,990.5023
19,0.4471,0.3735,0.0911,0.5768,495.2512,495.2512,990.5023
20,0.4662,0.3980,0.0962,0.7428,495.2512,9619.0019,10114.2531
21,0.4450,0.3820,0.0962,0.5836,495.2512,495.2512,990.5023
22,0.4457,0.3839,0.0962,0.6318,495.2512,495.2512,990.5023
23,0.4480,0.3814,0.0962,0.5956,495.2512,495.2512,990.5023
24,0.4859,0.4094,0.1199,0.7174,495.2512,9619.0019,10114.2531
25,0.4559,0.3897,0.1199,0.5591,495.2512,495.2512,990.5023
26,0.4589,0.3890,0.1199,0.5367,495.2512,495.2512,990.5023
27,0.4633,0.3903,0.1199,0.5224,495.2512,495.2512,990.5023
28,0.4691,0.4071,0.1093,0.7285,495.2512,9619.0019,10114.2531
29,0.4684,0.3951,0.1093,0.5295,495.2512,495.2512,990.5023
30,0.4628,0.3956,0.1093,0.5279,495.2512,495.2512,990.5023
31,0.4677,0.3971,0.1093,0.5046,495.2512,495.2512,990.5023
32,0.4760,0.4136,0.1022,0.6771,495.2512,9619.0019,10114.2531
33,0.4591,0.3977,0.1022,0.5223,495.2512,495.2512,990.5023
34,0.4713,0.3888,0.1022,0.5210,495.2512,495.2512,990.5023
35,0.4471,0.3923,0.1022,0.5191,495.2512,495.2512,990.5023
36,0.4852,0.4070,0.1211,0.7190,495.2512,9619.0019,10114.2531
37,0.4745,0.4007,0.1211,0.4851,495.2512,495.2512,990.5023
38,0.4616,0.3988,0.1211,0.4834,495.2512,495.2512,990.5023
39,0.4599,0.3934,0.1211,0.4692,495.2512,495.2512,990.5023
40,0.4655,0.4013,0.1000,0.6052,495.2512,9619.0019,10114.2531
41,0.4596,0.3919,0.1000,0.4550,495.2512,495.2512,990.5023
