round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3032,0.1000,,2.3032,0.00,196.36,196.36
2,0.1886,,2.3307,0.6988,,0.4129,196.36,196.36,392.73
3,0.1996,,2.3214,0.7009,,0.3991,196.36,196.36,392.73
4,0.2041,,2.3201,0.7019,,0.3992,196.36,196.36,392.73
5,0.2137,,2.3195,0.7017,,0.3963,196.36,196.36,392.73
6,0.2152,,2.3204,0.7015,,0.3960,196.36,196.36,392.73
7,0.2198,,2.3209,0.7021,,0.3958,196.36,196.36,392.73
8,0.2172,,2.3233,0.7023,,0.3945,196.36,196.36,392.73
9,0.2239,,2.3226,0.7017,,0.3950,196.36,196.36,392.73
10,0.2230,,2.3237,0.7022,,0.3938,196.36,196.36,392.73
11,0.2253,,2.3244,0.7027,,0.3927,196.36,196.36,392.73
12,0.2225,,2.3254,0.7009,,0.3971,196.36,196.36,392.73
13,0.2238,,2.3267,0.7009,,0.3984,196.36,196.36,392.73
14,0.2306,,2.3268,0.7025,,0.3927,196.36,196.36,392.73
15,0.2218,,2.3275,0.7015,,0.3963,196.36,196.36,392.73
16,0.2244,,2.3269,0.7012,,0.3945,196.36,196.36,392.73
17,0.2260,,2.3277,0.7022,,0.3939,196.36,196.36,392.73
18,0.2241,,2.3282,0.7023,,0.3941,196.36,196.36,392.73
19,0.2278,,2.3280,0.7021,,0.3931,196.36,196.36,392.73
20,0.2269,,2.3280,0.7020,,0.3936,196.36,196.36,392.73
21,0.2233,,2.3283,0.7026,,0.3932,196.36,196.36,392.73
22,0.2248,,2.3298,0.7025,,0.3940,196.36,196.36,392.73
23,0.2283,,2.3284,0.7020,,0.3948,196.36,196.36,392.73
24,0.2291,,2.3300,0.7027,,0.3969,196.36,196.36,392.73
25,0.2320,,2.3291,0.7019,,0.3941,196.36,196.36,392.73
26,0.2308,,2.3299,0.7026,,0.3934,196.36,196.36,392.73
27,0.2344,,2.3286,0.7014,,0.3951,196.36,196.36,392.73
28,0.2343,,2.3297,0.7028,,0.3957,196.36,196.36,392.73
29,0.2330,,2.3301,0.7023,,0.3942,196.36,196.36,392.73
30,0.2320,,2.3310,0.7032,,0.3925,196.36,196.36,392.73
31,0.2317,,2.3307,0.7017,,0.3941,196.36,196.36,392.73
32,0.2330,,2.3302,0.7024,,0.3907,196.36,196.36,392.73
33,0.2298,,2.3305,0.7017,,0.3942,196.36,196.36,392.73
34,0.2300,,2.3305,0.7014,,0.3949,196.36,196.36,392.73
35,0.2310,,2.3301,0.7026,,0.3928,196.36,196.36,392.73
36,0.2307,,2.3310,0.7020,,0.3941,196.36,196.36,392.73
37,0.2334,,2.3313,0.7025,,0.3931,196.36,196.36,392.73
38,0.2315,,2.3305,0.7026,,0.3927,196.36,196.36,392.73
39,0.2317,,2.3314,0.7032,,0.3912,196.36,196.36,392.73
40,0.2271,,2.3308,0.7023,,0.3925,196.36,196.36,392.73
41,0.2319,,2.3316,0.7017,,0.3959,196.36,196.36,392.73
42,0.2301,,2.3307,0.7031,,0.3925,196.36,196.36,392.73
43,0.2325,,2.3305,0.7022,,0.3924,196.36,196.36,392.73
44,0.2319,,2.3306,0.7022,,0.3937,196.36,196.36,392.73
45,0.2310,,2.3317,0.7012,,0.3964,196.36,196.36,392.73
46,0.2312,,2.3308,0.7023,,0.3942,196.36,196.36,392.73
47,0.2305,,2.3313,0.7028,,0.3918,196.36,196.36,392.73
48,0.2280,,2.3317,0.7017,,0.3917,196.36,196.36,392.73
49,0.2279,,2.3317,0.7020,,0.3924,196.36,196.36,392.73
50,0.2333,,2.3311,0.7026,,0.3915,196.36,196.36,392.73
51,0.2262,,2.3315,0.7010,,0.3950,196.36,196.36,392.73
52,0.2325,,2.3316,0.7025,,0.3920,196.36,196.36,392.73
53,0.2298,,2.3319,0.7019,,0.3936,196.36,196.36,392.73
