round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.50100000,0.00000000,,,0.00200000,0.00000000,,,30,30,0,0,3006,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,117.95036316,117.95036316,235.90072632,117.95036316
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.60833333,0.00000000,,,0.04820673,0.00000000,,,30,30,0,0,3650,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,235.90072632,235.90072632,471.80145264,157.26715088
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.71900000,0.00000000,,,0.03472271,0.00000000,,,30,30,0,0,4314,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,353.85108948,353.85108948,707.70217896,176.92554474
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.73600000,0.00000000,,,0.03979950,0.00000000,,,30,30,0,0,4416,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,471.80145264,471.80145264,943.60290527,188.72058105
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74516667,0.00000000,,,0.03957026,0.00000000,,,30,30,0,0,4471,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,589.75181580,589.75181580,1179.50363159,196.58393860
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74800000,0.00000000,,,0.04271222,0.00000000,,,30,30,0,0,4488,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,707.70217896,707.70217896,1415.40435791,202.20062256
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75416667,0.00000000,,,0.04187448,0.00000000,,,30,30,0,0,4525,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,825.65254211,825.65254211,1651.30508423,206.41313553
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76050000,0.00000000,,,0.04726433,0.00000000,,,30,30,0,0,4563,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,943.60290527,943.60290527,1887.20581055,209.68953451
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76183333,0.00000000,,,0.04673477,0.00000000,,,30,30,0,0,4571,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1061.55326843,1061.55326843,2123.10653687,212.31065369
10,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77050000,0.00000000,,,0.05124045,0.00000000,,,30,30,0,0,4623,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1179.50363159,1179.50363159,2359.00726318,214.45520574
11,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77850000,0.00000000,,,0.05905012,0.00000000,,,30,30,0,0,4671,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1297.45399475,1297.45399475,2594.90798950,216.24233246
12,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78350000,0.00000000,,,0.05917699,0.00000000,,,30,30,0,0,4701,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1415.40435791,1415.40435791,2830.80871582,217.75451660
13,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79100000,0.00000000,,,0.05730620,0.00000000,,,30,30,0,0,4746,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1533.35472107,1533.35472107,3066.70944214,219.05067444
14,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79700000,0.00000000,,,0.06189507,0.00000000,,,30,30,0,0,4782,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1651.30508423,1651.30508423,3302.61016846,220.17401123
15,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79450000,0.00000000,,,0.06332917,0.00000000,,,30,30,0,0,4767,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1769.25544739,1769.25544739,3538.51089478,221.15693092
16,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.80233333,0.00000000,,,0.06006570,0.00000000,,,30,30,0,0,4814,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1887.20581055,1887.20581055,3774.41162109,222.02421301
17,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.80400000,0.00000000,,,0.06877984,0.00000000,,,30,30,0,0,4824,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2005.15617371,2005.15617371,4010.31234741,222.79513041
18,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.80816667,0.00000000,,,0.06897443,0.00000000,,,30,30,0,0,4849,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2123.10653687,2123.10653687,4246.21307373,223.48489862
19,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.80466667,0.00000000,,,0.06705636,0.00000000,,,30,30,0,0,4828,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2241.05690002,2241.05690002,4482.11380005,224.10569000
20,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.81000000,0.00000000,,,0.07150758,0.00000000,,,30,30,0,0,4860,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2359.00726318,2359.00726318,4718.01452637,224.66735840
21,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.80833333,0.00000000,,,0.07256415,0.00000000,,,30,30,0,0,4850,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2476.95762634,2476.95762634,4953.91525269,225.17796603
22,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.81116667,0.00000000,,,0.07290043,0.00000000,,,30,30,0,0,4867,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2594.90798950,2594.90798950,5189.81597900,225.64417300
23,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79983333,0.00000000,,,0.06842859,0.00000000,,,30,30,0,0,4799,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2712.85835266,2712.85835266,5425.71670532,226.07152939
