idx,total_jobs,global_job_idx,worker_id,num_workers,dataset_base,algorithm,rho,num_clients,seed,run_ordinal,target_runs,dataset,status,exit_code,start_utc,end_utc,run_log,complete_before,complete_after,latest_complete_acc_csv
2,31,104,1,2,Cifar10,pFedMe,0.8,50,2,2,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-16T05:50:32Z,2026-06-16T09:10:48Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g104_q2_Cifar10_pFedMe_rho0p8_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/pFedMe/GM_VGG8/splitgp_rho0.8/NC_50/date_20260616/time_055035/acc.csv
1,31,102,1,2,Cifar10,pFedMe,0.6,50,3,3,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-16T05:50:32Z,2026-06-16T09:14:47Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g102_q1_Cifar10_pFedMe_rho0p6_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/pFedMe/GM_VGG8/splitgp_rho0.6/NC_50/date_20260616/time_055040/acc.csv
3,31,108,1,2,Cifar10,FedProx,0.0,50,3,3,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-16T09:10:48Z,2026-06-16T10:08:11Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g108_q3_Cifar10_FedProx_rho0p0_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedProx/GM_VGG8/splitgp_rho0.0/NC_50/date_20260616/time_091053/acc.csv
4,31,114,1,2,Cifar10,FedProx,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-16T09:14:47Z,2026-06-16T10:12:14Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g114_q4_Cifar10_FedProx_rho0p4_nc50_seed3_run3.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedProx/GM_VGG8/splitgp_rho0.4/NC_50/date_20260616/time_091452/acc.csv
5,31,116,1,2,Cifar10,FedProx,0.6,50,2,2,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-16T10:08:11Z,2026-06-16T11:05:18Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g116_q5_Cifar10_FedProx_rho0p6_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedProx/GM_VGG8/splitgp_rho0.6/NC_50/date_20260616/time_100817/acc.csv
6,31,120,1,2,Cifar10,FedProx,0.8,50,3,3,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-16T10:12:14Z,2026-06-16T11:10:14Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g120_q6_Cifar10_FedProx_rho0p8_nc50_seed3_run3.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedProx/GM_VGG8/splitgp_rho0.8/NC_50/date_20260616/time_101219/acc.csv
7,31,126,1,2,FashionMNIST,cwFedAvg,0.2,50,3,3,3,FashionMNIST_splitgp_pat_rho0.2_nc50,ok,0,2026-06-16T11:05:18Z,2026-06-16T11:47:10Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g126_q7_FashionMNIST_cwFedAvg_rho0p2_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260616/time_110525/acc.csv
8,31,132,1,2,FashionMNIST,cwFedAvg,0.6,50,3,3,3,FashionMNIST_splitgp_pat_rho0.6_nc50,ok,0,2026-06-16T11:10:14Z,2026-06-16T11:53:13Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g132_q8_FashionMNIST_cwFedAvg_rho0p6_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260616/time_111019/acc.csv
9,31,138,1,2,FashionMNIST,FedALA,0.0,50,3,3,3,FashionMNIST_splitgp_pat_rho0.0_nc50,ok,0,2026-06-16T11:47:10Z,2026-06-16T12:38:29Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g138_q9_FashionMNIST_FedALA_rho0p0_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedALA/GM_VGG8/splitgp_rho0.0/NC_50/date_20260616/time_114716/acc.csv
10,31,144,1,2,FashionMNIST,FedALA,0.4,50,3,3,3,FashionMNIST_splitgp_pat_rho0.4_nc50,ok,0,2026-06-16T11:53:13Z,2026-06-16T12:43:45Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g144_q10_FashionMNIST_FedALA_rho0p4_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedALA/GM_VGG8/splitgp_rho0.4/NC_50/date_20260616/time_115318/acc.csv
11,31,150,1,2,FashionMNIST,FedALA,0.8,50,3,3,3,FashionMNIST_splitgp_pat_rho0.8_nc50,ok,0,2026-06-16T12:38:29Z,2026-06-16T13:23:17Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g150_q11_FashionMNIST_FedALA_rho0p8_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedALA/GM_VGG8/splitgp_rho0.8/NC_50/date_20260616/time_123836/acc.csv
12,31,156,1,2,FashionMNIST,FedAS,0.2,50,3,3,3,FashionMNIST_splitgp_pat_rho0.2_nc50,ok,0,2026-06-16T12:43:45Z,2026-06-16T14:39:04Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260616/time_055019/worker_1/run_logs/g156_q12_FashionMNIST_FedAS_rho0p2_nc50_seed3_run3.log,2,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/FashionMNIST/FedAS/GM_VGG8/splitgp_rho0.2/NC_50/date_20260616/time_124350/acc.csv
